URI Scheme,Template,Description,Status,CRI Scheme Number,Well-Known URI Support,Reference,Notes
aaa,,Diameter Protocol,Permanent,13862,-,[RFC6733],
aaas,,Diameter Protocol with Secure Transport,Permanent,14526,-,[RFC6733],
about,,about,Permanent,3786,-,[RFC6694],
acap,,application configuration access protocol,Permanent,12705,-,[RFC2244],
acct,,acct,Permanent,10229,-,[RFC7565],
acd,prov/acd,acd,Provisional,6840,-,[Michael_Hedenus],
acr,prov/acr,acr,Provisional,10196,-,[OMA-OMNA],
adiumxtra,prov/adiumxtra,adiumxtra,Provisional,6634,-,[Dave_Thaler],
adt,prov/adt,adt,Provisional,5150,-,[SAP_SE],
afp,prov/afp,afp,Provisional,13404,-,[Dave_Thaler],
afs,,Andrew File System global file names,Provisional,10687,-,[RFC1738],
agtp,prov/agtp,agtp,Provisional,1006,-,[Chris_Hood],
aim,prov/aim,aim,Provisional,10327,-,[Dave_Thaler],
amss,prov/amss,amss,Provisional,10831,-,[RadioDNS_Project],
android,prov/android,android,Provisional,15061,-,[Adam_Barth][https://developer.android.com/guide/topics/manifest/manifest-intro],
appdata,prov/appdata,appdata,Provisional,7364,-,[urischemeowners_at_microsoft.com],
apt,prov/apt,apt,Provisional,7856,-,[Dave_Thaler],
ar,prov/ar,ar,Provisional,5099,-,[Arweave_Team],
ari,prov/ari,ari,Provisional,3818,-,[draft-ietf-dtn-ari-04],
ark,prov/ark,ark,Provisional,3018,-,[ARK_agency][https://n2t.net/ark:/21206/10015],
at,prov/at,at (see [reviewer notes]),Provisional,6007,-,[Bluesky_PBLLC][Paul_Frazee],
attachment,prov/attachment,attachment,Provisional,8577,-,[Dave_Thaler],
aw,prov/aw,aw,Provisional,16051,-,[Dave_Thaler],
barion,prov/barion,barion,Provisional,10225,-,[Bíró_Tamás],
bb,historic/bb,bb,Historical,5188,-,[IESG],
beshare,prov/beshare,beshare,Provisional,4674,-,[Dave_Thaler],
bitcoin,prov/bitcoin,bitcoin,Provisional,9186,-,[Dave_Thaler],
bitcoincash,prov/bitcoincash,bitcoincash,Provisional,7226,-,[Corentin_Mercier],
bl,prov/bl,bluetooth (shortened),Provisional,10024,-,[Daniel_Cowling],
blob,prov/blob,blob,Provisional,11060,-,[W3C_WebApps_Working_Group][Chris_Rebert],
bluetooth,prov/bluetooth,bluetooth,Provisional,12052,-,[Daniel_Cowling],
bolo,prov/bolo,bolo,Provisional,8765,-,[Dave_Thaler],
brid,prov/brid,brid,Provisional,8251,-,[Jürgen_Grupp][Michael_Ranft][Sophie_Schenkel],
browserext,prov/browserext,browserext,Provisional,4327,-,[Mike_Pietraszak],
cabal,prov/cabal,cabal,Provisional,11393,-,[Frédéric_Wang][Cabal_Club],
calculator,prov/calculator,calculator,Provisional,3783,-,[urischemeowners_at_microsoft.com],
callto,prov/callto,callto,Provisional,8713,-,[Alexey_Melnikov],
cap,,Calendar Access Protocol,Permanent,9204,-,[RFC4324],
caip,prov/caip,caip,Provisional,1001,-,[Patrick_Collins],
cast,prov/cast,cast,Provisional,1220,-,[Adam_Barth][https://developers.google.com/cast/docs/registration],
casts,prov/casts,casts,Provisional,12718,-,[Adam_Barth][https://developers.google.com/cast/docs/registration],
chrome,prov/chrome,chrome,Provisional,5728,-,[Dave_Thaler],
chrome-extension,prov/chrome-extension,chrome-extension,Provisional,14667,-,[Dave_Thaler],
cid,,content identifier,Permanent,15202,-,[RFC2392],
coap,,coap,Permanent,0,[RFC7252],[RFC7252],
coap+tcp,,coap+tcp (see [reviewer notes]),Permanent,6,[RFC8323],[RFC8323],
coap+ws,,coap+ws (see [reviewer notes]),Permanent,24,[RFC8323],[RFC8323],
coaps,,coaps,Permanent,1,[RFC7252],[RFC7252],
coaps+tcp,,coaps+tcp (see [reviewer notes]),Permanent,7,[RFC8323],[RFC8323],
coaps+ws,,coaps+ws (see [reviewer notes]),Permanent,25,[RFC8323],[RFC8323],
com-eventbrite-attendee,prov/com-eventbrite-attendee,com-eventbrite-attendee,Provisional,9278,-,[Bob_Van_Zant],
content,prov/content,content,Provisional,8387,-,[Dave_Thaler],
content-type,prov/content-type,content-type,Provisional,6030,-,[Donald_Eastlake],
crid,,TV-Anytime Content Reference Identifier,Permanent,5990,-,[RFC4078],
cstr,prov/cstr,cstr,Provisional,6730,-,[Wang_Shu],
cttps,prov/cttps,cttps,Provisional,1007,-,[Saso_Ahmed],
cvs,prov/cvs,cvs,Provisional,12242,-,[Dave_Thaler],
dab,prov/dab,dab,Provisional,6774,-,[RadioDNS_Project],
dat,prov/dat,dat,Provisional,10583,-,[Frédéric_Wang][Paul_Frazee],
data,,data,Permanent,1946,-,[RFC2397],
dav,,dav,Permanent,4373,-,[RFC4918],
dhttp,prov/dhttp,dhttp (see [reviewer notes]),Provisional,4549,-,[Qi_Zhou],
diaspora,prov/diaspora,diaspora,Provisional,4598,-,[Dennis_Schubert],
dict,,dictionary service protocol,Permanent,3886,-,[RFC2229],
did,prov/did,did,Provisional,5,-,[W3C_Decentralized_Identifier_Working_Group][Manu_Sporny][Ivan_Herman],
dilithium3,prov/dilithium3,dilithium3,Provisional,1005,-,[Juan_Jose_Todoli_de_Torres],
dis,prov/dis,dis,Provisional,17134,-,[Christophe_Meessen],
dlna-playcontainer,prov/dlna-playcontainer,dlna-playcontainer,Provisional,5557,-,[DLNA],
dlna-playsingle,prov/dlna-playsingle,dlna-playsingle,Provisional,6144,-,[DLNA],
dnp,prov/dnp,dnp,Provisional,15819,-,[Shuai_Wang],
dns,,Domain Name System,Permanent,12932,-,[RFC4501],
dntp,prov/dntp,dntp,Provisional,14347,-,[Hans-Dieter_A._Hiep],
doi,,doi,Permanent,13014,-,[DOI URI Scheme][Pierre-Anthony_Lemieux][DOI_Foundation],
donau,prov/donau,donau,Provisional,10150,-,[draft-grothoff-donau-02],
dpp,prov/dpp,dpp,Provisional,2442,-,[Gaurav_Jain][Wi-Fi_Alliance],
drm,prov/drm,drm,Provisional,9859,-,[RadioDNS_Project],
drop,historic/drop,drop,Historical,16138,-,[IESG],
